"Area","Parameter","N_years","50%","2.5%","25%","75%","97.5%","Evidence"
"Åfjord","Lambda",15,-0.508224633373771,-0.644871483712596,-0.55834285871869,-0.447191655108832,-0.300996360255077,"**"
"Åfjord","Recruitment",15,0.510071395807831,0.330597743717146,0.448244043276189,0.570319299954759,0.681450989402327,"**"
"Åfjord","Survival",15,-0.655268107424921,-0.808634757752776,-0.716340520359581,-0.584631945795335,-0.415109063364061,"**"
"Ålen og Haltdalen Fjellstyre","Lambda",13,-0.359460989070698,-0.49957007634837,-0.397853966721729,-0.325031914570284,-0.264258266898074,"**"
"Ålen og Haltdalen Fjellstyre","Recruitment",13,-0.178824876852406,-0.456144941063946,-0.264325316605248,-0.106388354510485,0.0194821858501904,"*"
"Ålen og Haltdalen Fjellstyre","Survival",13,-0.308768613714333,-0.43067191568929,-0.347087547786121,-0.26830364267649,-0.187491045335469,"**"
"Budal Fjellstyre","Lambda",6,-0.45330519701594,-0.590103510644726,-0.503742937130779,-0.394816651574103,-0.253901023148725,"**"
"Budal Fjellstyre","Recruitment",6,0.095703988545558,-0.415520449079322,-0.0832753677358122,0.280925183049471,0.589054349635056,"-"
"Budal Fjellstyre","Survival",6,-0.453131725429162,-0.64330112769063,-0.522167989278762,-0.37600271683922,-0.196330715321028,"**"
"Dovre Fjellstyre","Lambda",15,-0.71781470270729,-0.837162101206102,-0.759788241126806,-0.675694889415306,-0.594697919337059,"**"
"Dovre Fjellstyre","Recruitment",15,0.503155986077624,0.263276704031847,0.427647016526803,0.572345473085536,0.685533709725844,"**"
"Dovre Fjellstyre","Survival",15,-0.69443253742978,-0.823318974292249,-0.744426948278298,-0.637747080111261,-0.497067057844588,"**"
"Eidfjord Fjellstyre","Lambda",15,-0.472096830542024,-0.572229940427635,-0.50722018931524,-0.436026060358001,-0.360867936895447,"**"
"Eidfjord Fjellstyre","Recruitment",15,0.519056845316557,0.416364273234219,0.48383475083258,0.555007125235383,0.623445623171734,"**"
"Eidfjord Fjellstyre","Survival",15,-0.559553962887603,-0.678095506132499,-0.60070985690278,-0.517285135852959,-0.431793392537511,"**"
"Engerdal Fjellstyre","Lambda",15,-0.534688573571582,-0.621163618341322,-0.564266895854489,-0.505438933626552,-0.448001606837544,"**"
"Engerdal Fjellstyre","Recruitment",15,0.728467043164139,0.635899329373224,0.697827688382248,0.757083020811444,0.80957718316872,"**"
"Engerdal Fjellstyre","Survival",15,-0.658816354706483,-0.73469050465953,-0.685501633483101,-0.62980663544231,-0.570086938459081,"**"
