"Area","Parameter","N_years","50%","2.5%","25%","75%","97.5%","Evidence"
"Åfjord","Lambda",15,-0.509218133546629,-0.651455740460757,-0.5623750852259,-0.449776786675066,-0.308949957133997,"**"
"Åfjord","Recruitment",15,0.507744889346366,0.334233521889215,0.447434483661952,0.566958335061392,0.678752481687935,"**"
"Åfjord","Survival",15,-0.3805448984265,-0.799495411795783,-0.607957250725126,-0.103915842316533,0.304205859641681,"*"
"Ålen og Haltdalen Fjellstyre","Lambda",13,-0.355448343402942,-0.485494990667928,-0.388651448900722,-0.324619417411795,-0.262885132681886,"**"
"Ålen og Haltdalen Fjellstyre","Recruitment",13,-0.173733142319259,-0.418815570945629,-0.245183294042447,-0.11223195599107,0.00298565906235331,"*"
"Ålen og Haltdalen Fjellstyre","Survival",13,-0.200812665013631,-0.44823079352471,-0.319577852267908,-0.046780543680208,0.189585638791511,"*"
"Budal Fjellstyre","Lambda",6,-0.45323742249979,-0.593610584627702,-0.504240775180401,-0.394299620026653,-0.250299529558144,"**"
"Budal Fjellstyre","Recruitment",6,0.0998336643699062,-0.410376974629461,-0.0822214326653353,0.277590766819142,0.581724704389191,"-"
"Budal Fjellstyre","Survival",6,-0.343565655911119,-0.682730644955317,-0.525623565485004,-0.0676921756405683,0.340915282073949,"*"
"Dovre Fjellstyre","Lambda",15,-0.719395860213385,-0.837017985838563,-0.762023444595622,-0.676825215274606,-0.598605408833924,"**"
"Dovre Fjellstyre","Recruitment",15,0.497902182765923,0.248834192991154,0.419228074111825,0.56737990924643,0.681224848553101,"**"
"Dovre Fjellstyre","Survival",15,-0.649221284243396,-0.807723928911669,-0.711257935367314,-0.57084563429328,-0.367440831498129,"**"
"Eidfjord Fjellstyre","Lambda",15,-0.475192088084001,-0.575255196246367,-0.509561071584506,-0.438944008953412,-0.365026209529785,"**"
"Eidfjord Fjellstyre","Recruitment",15,0.521375910612088,0.416030981464516,0.485058958403459,0.557438720770933,0.623772648731776,"**"
"Eidfjord Fjellstyre","Survival",15,-0.34820438403396,-0.645768653351803,-0.485910214975018,-0.187811152597778,0.0675564666092241,"*"
"Engerdal Fjellstyre","Lambda",15,-0.538085990939482,-0.625571870748076,-0.569002162155558,-0.507306999967436,-0.448989880989379,"**"
"Engerdal Fjellstyre","Recruitment",15,0.726608878187744,0.634783530239064,0.696527050105999,0.755540354584446,0.806629208699819,"**"
"Engerdal Fjellstyre","Survival",15,-0.554248093658956,-0.733569675689278,-0.653066076081243,-0.395679774108605,-0.113627249705757,"**"
"Fron Fjellstyre","Lambda",12,-0.686892657847389,-0.789634722828541,-0.724567512674603,-0.645181697843114,-0.560436998291106,"**"
"Fron Fjellstyre","Recruitment",12,0.439699427397819,0.154312710957063,0.343082084991026,0.527777904836267,0.679221692328449,"**"
"Fron Fjellstyre","Survival",12,-0.6738104895849,-0.840023575390387,-0.744042953523826,-0.579078451589283,-0.314911417543329,"**"
"Gausdal Fjellstyre","Lambda",15,-0.751499191772422,-0.825197185978598,-0.77857365130389,-0.723686673084186,-0.671086083139754,"**"
"Gausdal Fjellstyre","Recruitment",15,0.621699492198687,0.481132641292387,0.577324989616224,0.665320871053262,0.740923704650322,"**"
"Gausdal Fjellstyre","Survival",15,-0.646635646197188,-0.790442747774123,-0.706601705969166,-0.570305073053663,-0.386381490632932,"**"
"Helgeland 1","Lambda",15,-0.582341889941695,-0.652330393632342,-0.605011209722851,-0.560760920288026,-0.520931460638076,"**"
"Helgeland 1","Recruitment",15,0.608727476528962,0.471850437060688,0.563221922066184,0.650765658775823,0.724946287649235,"**"
"Helgeland 1","Survival",15,-0.741988464756607,-0.868222852124122,-0.789120907781356,-0.690676976763497,-0.543294971636925,"**"
"Helgeland 2","Lambda",15,-0.714073274530324,-0.780196239000669,-0.737267499930747,-0.690645042566503,-0.644447555568277,"**"
"Helgeland 2","Recruitment",15,0.604064840623521,0.496263139960187,0.567084105101699,0.638800431018923,0.703094504453104,"**"
"Helgeland 2","Survival",15,-0.753140733492114,-0.859796893169069,-0.807505040571816,-0.643518780326463,-0.401456068258575,"**"
"Helgeland 3","Lambda",15,-0.513469847144933,-0.610870535243864,-0.549367565391705,-0.471622247013142,-0.385330318266815,"**"
"Helgeland 3","Recruitment",15,0.271049858383724,0.144539124710158,0.227861866150464,0.315183331262012,0.398759632396366,"**"
"Helgeland 3","Survival",15,-0.319161118305823,-0.709857906427834,-0.514157242290857,-0.0829256791479369,0.269117129338126,"*"
"Indre Finnmark","Lambda",15,-0.528097772741184,-0.590005364215501,-0.549834615190737,-0.506824525303324,-0.466007750565586,"**"
"Indre Finnmark","Recruitment",15,0.774969481076525,0.686955159289386,0.745497823450557,0.802815199784164,0.851766519602646,"**"
"Indre Finnmark","Survival",15,-0.657410856650609,-0.810834106440902,-0.737348323636476,-0.539117341476538,-0.30530271413865,"**"
"Indre Salten","Lambda",15,-0.637831823036456,-0.754001242083487,-0.680729299514276,-0.591320756870985,-0.498337850497263,"**"
"Indre Salten","Recruitment",15,0.641757721563055,0.333696623515516,0.539306076559821,0.733703196341452,0.857828812409834,"**"
"Indre Salten","Survival",15,-0.688009988908242,-0.833529258957674,-0.75192253349136,-0.592091336485049,-0.348693474516764,"**"
"Kongsvoll","Lambda",13,-0.552029308627804,-0.670875735703409,-0.593975208325798,-0.513509989069684,-0.454441809317285,"**"
"Kongsvoll","Recruitment",13,0.405086294143552,0.12318762536144,0.318233825732617,0.4874812245248,0.63434008658036,"**"
"Kongsvoll","Survival",13,-0.546031194292046,-0.678790761362462,-0.595776527279189,-0.472795051362814,-0.313650471540941,"**"
"Kvikne Fjellstyre","Lambda",15,-0.66254187008143,-0.731576853393121,-0.686977586699439,-0.639631129976173,-0.593249517562981,"**"
"Kvikne Fjellstyre","Recruitment",15,0.705641050774833,0.637633561656008,0.682099438017847,0.727404020890964,0.767427741841541,"**"
"Kvikne Fjellstyre","Survival",15,-0.665424778847687,-0.753270190482737,-0.701410541054835,-0.611327815338202,-0.465875775133819,"**"
"Lesja Fjellstyre","Lambda",15,-0.424090736449999,-0.535730433048674,-0.461500457767226,-0.38463789118204,-0.311192021478239,"**"
"Lesja Fjellstyre","Recruitment",15,0.386544845484834,0.19674560840138,0.320531978290747,0.449311873525391,0.562813645660941,"**"
"Lesja Fjellstyre","Survival",15,-0.317218358462173,-0.535107854404844,-0.416889290342744,-0.159775424603923,0.118168621975009,"*"
"Lierne Fjellstyre","Lambda",15,-0.301658175020594,-0.417062111629419,-0.340718801646343,-0.263319859603606,-0.20010818228221,"**"
"Lierne Fjellstyre","Recruitment",15,0.21329600113614,0.120756220376823,0.18038575608277,0.247614433548295,0.322904342791062,"**"
"Lierne Fjellstyre","Survival",15,-0.27470604593921,-0.553424678350469,-0.41919091955873,-0.0990047605273954,0.134064961586117,"*"
"Midtre Salten","Lambda",13,-0.541590884483637,-0.625174995726806,-0.568798061672651,-0.514181559250021,-0.458776211540351,"**"
"Midtre Salten","Recruitment",13,0.436925701861274,0.217328146953136,0.364648516204306,0.503390871953699,0.61885728484992,"**"
"Midtre Salten","Survival",13,-0.526918272104374,-0.747127925953534,-0.637733882964526,-0.375051725075961,-0.0883919189191991,"**"
"Namdalseid Fjellstyre","Lambda",5,-0.546568639024534,-0.952751654536635,-0.721307930646303,-0.281129058745035,0.607193532260187,"*"
"Namdalseid Fjellstyre","Recruitment",5,0.451153224464512,-0.436490690554136,0.169454395089712,0.682869041410582,0.928962463863049,"*"
"Namdalseid Fjellstyre","Survival",5,-0.554467064239132,-0.972746417670188,-0.816574951116005,-0.0288391728684043,0.74389360300558,"*"
"Namskogan Fjellstyre","Lambda",15,-0.421940184626025,-0.505475209981316,-0.448093744785771,-0.398096040379002,-0.357435286879974,"**"
"Namskogan Fjellstyre","Recruitment",15,0.55041823131616,0.369324291108595,0.493332423899076,0.607045067172076,0.702230326371188,"**"
"Namskogan Fjellstyre","Survival",15,-0.502696645551447,-0.68820184317889,-0.588048401290194,-0.365306137054453,-0.101641370043913,"**"
"Njardarheim","Lambda",11,-0.675045502449085,-0.773817053831804,-0.711080960368694,-0.633126929773953,-0.545143195780144,"**"
"Njardarheim","Recruitment",11,0.576281574832502,0.374646084809656,0.511295626216024,0.636145226134195,0.736541642708703,"**"
"Njardarheim","Survival",11,-0.440353389809423,-0.745016214346965,-0.602198282758177,-0.207445753599384,0.158225880489563,"*"
"Nordre Salten","Lambda",5,-0.904820955049673,-0.996710430738727,-0.961838595015016,-0.788114370619401,-0.0304299621350681,"**"
"Nordre Salten","Recruitment",5,0.648544361845808,-0.251349530071285,0.3979189232303,0.814461928874647,0.965519930983263,"*"
"Nordre Salten","Survival",5,-0.661150325926227,-0.979273077163718,-0.856537400115846,-0.268177140987957,0.577642028022208,"*"
"Os Fjellstyre","Lambda",7,-0.769071282532977,-0.858151362126607,-0.79939167362702,-0.73918833519917,-0.67137310472033,"**"
"Os Fjellstyre","Recruitment",7,0.700675796521967,0.433203646985918,0.616255760122275,0.775620011523906,0.892032575740857,"**"
